NUTS2_code,process,season,day_type,hour,load,temperature
SK02,shw_tertiary,,0,20,47.4413,
SK02,shw_tertiary,,0,21,47.3316,
SK02,shw_tertiary,,0,22,45.0994,
SK02,shw_tertiary,,0,23,41.7989,
SK02,shw_tertiary,,0,24,37.4059,
SK02,shw_tertiary,,1,1,33.1109,
SK02,shw_tertiary,,1,2,33.1263,
SK02,shw_tertiary,,1,3,33.4392,
SK02,shw_tertiary,,1,4,34.9564,
SK02,shw_tertiary,,1,5,36.7021,
SK02,shw_tertiary,,1,6,39.3146,
SK02,shw_tertiary,,1,7,43.0437,
SK02,shw_tertiary,,1,8,47.682,
SK02,shw_tertiary,,1,9,51.2439,
SK02,shw_tertiary,,1,10,52.7648,
SK02,shw_tertiary,,1,11,52.9943,
SK02,shw_tertiary,,1,12,52.4128,
SK02,shw_tertiary,,1,13,51.8638,
SK02,shw_tertiary,,1,14,51.1551,
SK02,shw_tertiary,,1,15,49.7742,
SK02,shw_tertiary,,1,16,47.9542,
SK02,shw_tertiary,,1,17,46.4687,
SK02,shw_tertiary,,1,18,45.5927,
SK02,shw_tertiary,,1,19,44.9462,
SK02,shw_tertiary,,1,20,44.5839,
SK02,shw_tertiary,,1,21,43.0253,
SK02,shw_tertiary,,1,22,40.6986,
SK02,shw_tertiary,,1,23,37.0801,
SK02,shw_tertiary,,1,24,34.6387,
SK02,shw_tertiary,,2,1,32.8523,
SK02,shw_tertiary,,2,2,32.8674,
SK02,shw_tertiary,,2,3,33.0747,
SK02,shw_tertiary,,2,4,34.3162,
SK02,shw_tertiary,,2,5,35.5104,
SK02,shw_tertiary,,2,6,37.3512,
SK02,shw_tertiary,,2,7,39.6136,
SK02,shw_tertiary,,2,8,42.5469,
SK02,shw_tertiary,,2,9,44.6388,
SK02,shw_tertiary,,2,10,45.6237,
SK02,shw_tertiary,,2,11,45.8872,
SK02,shw_tertiary,,2,12,45.5709,
SK02,shw_tertiary,,2,13,44.8547,
SK02,shw_tertiary,,2,14,43.8324,
SK02,shw_tertiary,,2,15,42.3207,
SK02,shw_tertiary,,2,16,40.9436,
SK02,shw_tertiary,,2,17,40.2874,
SK02,shw_tertiary,,2,18,40.4314,
SK02,shw_tertiary,,2,19,40.7601,
SK02,shw_tertiary,,2,20,40.9103,
SK02,shw_tertiary,,2,21,40.0489,
SK02,shw_tertiary,,2,22,38.8331,
SK02,shw_tertiary,,2,23,36.3173,
SK02,shw_tertiary,,2,24,34.3734,
SK03,shw_tertiary,,0,1,34.8493,
SK03,shw_tertiary,,0,2,33.3116,
SK03,shw_tertiary,,0,3,33.3277,
SK03,shw_tertiary,,0,4,33.7242,
SK03,shw_tertiary,,0,5,35.381,
SK03,shw_tertiary,,0,6,37.6637,
SK03,shw_tertiary,,0,7,41.6341,
SK03,shw_tertiary,,0,8,47.78,
SK03,shw_tertiary,,0,9,55.3136,
SK03,shw_tertiary,,0,10,61.0718,
SK03,shw_tertiary,,0,11,63.2179,
SK03,shw_tertiary,,0,12,62.7363,
SK03,shw_tertiary,,0,13,61.3767,
SK03,shw_tertiary,,0,14,60.3486,
SK03,shw_tertiary,,0,15,58.6768,
SK03,shw_tertiary,,0,16,55.2883,
SK03,shw_tertiary,,0,17,51.3358,
SK03,shw_tertiary,,0,18,48.6286,
SK03,shw_tertiary,,0,19,47.6886,
SK03,shw_tertiary,,0,20,47.4413,
SK03,shw_tertiary,,0,21,47.3316,
SK03,shw_tertiary,,0,22,45.0994,
SK03,shw_tertiary,,0,23,41.7989,
SK03,shw_tertiary,,0,24,37.4059,
SK03,shw_tertiary,,1,1,33.1109,
SK03,shw_tertiary,,1,2,33.1263,
SK03,shw_tertiary,,1,3,33.4392,
SK03,shw_tertiary,,1,4,34.9564,
SK03,shw_tertiary,,1,5,36.7021,
SK03,shw_tertiary,,1,6,39.3146,
SK03,shw_tertiary,,1,7,43.0437,
SK03,shw_tertiary,,1,8,47.682,
SK03,shw_tertiary,,1,9,51.2439,
SK03,shw_tertiary,,1,10,52.7648,
SK03,shw_tertiary,,1,11,52.9943,
SK03,shw_tertiary,,1,12,52.4128,
SK03,shw_tertiary,,1,13,51.8638,
SK03,shw_tertiary,,1,14,51.1551,
SK03,shw_tertiary,,1,15,49.7742,
SK03,shw_tertiary,,1,16,47.9542,
SK03,shw_tertiary,,1,17,46.4687,
SK03,shw_tertiary,,1,18,45.5927,
SK03,shw_tertiary,,1,19,44.9462,
SK03,shw_tertiary,,1,20,44.5839,
SK03,shw_tertiary,,1,21,43.0253,
SK03,shw_tertiary,,1,22,40.6986,
SK03,shw_tertiary,,1,23,37.0801,
SK03,shw_tertiary,,1,24,34.6387,
SK03,shw_tertiary,,2,1,32.8523,
SK03,shw_tertiary,,2,2,32.8674,
SK03,shw_tertiary,,2,3,33.0747,
SK03,shw_tertiary,,2,4,34.3162,
SK03,shw_tertiary,,2,5,35.5104,
SK03,shw_tertiary,,2,6,37.3512,
SK03,shw_tertiary,,2,7,39.6136,
SK03,shw_tertiary,,2,8,42.5469,
SK03,shw_tertiary,,2,9,44.6388,
SK03,shw_tertiary,,2,10,45.6237,
SK03,shw_tertiary,,2,11,45.8872,
SK03,shw_tertiary,,2,12,45.5709,
SK03,shw_tertiary,,2,13,44.8547,
SK03,shw_tertiary,,2,14,43.8324,
SK03,shw_tertiary,,2,15,42.3207,
SK03,shw_tertiary,,2,16,40.9436,
SK03,shw_tertiary,,2,17,40.2874,
SK03,shw_tertiary,,2,18,40.4314,
SK03,shw_tertiary,,2,19,40.7601,
SK03,shw_tertiary,,2,20,40.9103,
SK03,shw_tertiary,,2,21,40.0489,
SK03,shw_tertiary,,2,22,38.8331,
SK03,shw_tertiary,,2,23,36.3173,
SK03,shw_tertiary,,2,24,34.3734,
